lat,long,date,time,region
7.2871,126.1451,16/01/2024,,Region XI - Davao Region
7.294,126.1039,18/01/2024,19:40:00,Region XI - Davao Region
7.294,126.1039,18/01/2024,,Region XI - Davao Region
7.3011,125.9712,25/12/2022,10:56:00,Region XI - Davao Region
7.3182,126.0779,18/01/2024,21:00:00,Region XI - Davao Region
7.3186,125.2738,01/02/2024,22:57:00,Region XI - Davao Region
7.3306,126.5158,17/01/2024,04:55:00,Region XI - Davao Region
7.3313,126.4822,15/01/2024,,Region XI - Davao Region
7.3411,126.2278,18/01/2024,15:00:00,Region XI - Davao Region
7.3411,126.2278,19/12/2023,04:00:00,Region XI - Davao Region
7.3521,126.1544,08/31/2010,,Region XI - Davao Region
7.357,125.906,15/01/2024,,Region XI - Davao Region
7.3575,125.8802,26/12/2022,05:20:00,Region XI - Davao Region
7.3594,126.1518,18/01/2024,17:00:00,Region XI - Davao Region
7.36,122.1865,05/25/2011,,Region IX - Zamboanga Peninsula
7.3667,125.85,01/11/2014,,Region XI - Davao Region
7.3678,126.1487,25/01/2023,22:57:00,Region XI - Davao Region
7.3678,126.1487,16/01/2024,,Region XI - Davao Region
7.3707,125.8859,31/01/2024,,Region XI - Davao Region
7.3725,126.1401,05/04/2022,20:52:00,Region XI - Davao Region
7.375,125.87,05/19/2011,,Region XI - Davao Region
7.3773,126.0266,24/01/2023,21:08:00,Region XI - Davao Region
7.3773,126.0266,31/01/2024,,Region XI - Davao Region
7.384,126.147,16/01/2024,,Region XI - Davao Region
7.3866,126.1134,25/01/2023,09:25:00,Region XI - Davao Region
7.3866,126.1134,16/01/2024,,Region XI - Davao Region
7.3911,125.975,31/01/2024,11:00:00,Region XI - Davao Region
7.3911,125.975,25/12/2022,08:24:00,Region XI - Davao Region
7.4009,126.0264,14/01/2023,04:00:00,Region XI - Davao Region
7.4021,126.5028,15/01/2024,,Region XI - Davao Region
7.4022,126.5511,15/01/2024,05:05:00,Region XI - Davao Region
7.4035,126.0136,25/12/2022,00:00:00,Region XI - Davao Region
7.4041,126.0569,15/01/2024,,Region XI - Davao Region
7.4086,126.1287,18/12/2023,09:00:00,Region XI - Davao Region
7.4086,126.1287,18/01/2024,,Region XI - Davao Region
7.4117,126.112,25/01/2023,14:50:00,Region XI - Davao Region
7.4117,126.112,16/01/2024,,Region XI - Davao Region
7.4149,125.9845,25/01/2023,11:28:00,Region XI - Davao Region
7.4149,125.9845,18/02/2023,09:48:00,Region XI - Davao Region
7.4149,125.9845,15/01/2024,,Region XI - Davao Region
7.4166,126.0011,01/10/2014,,Region XI - Davao Region
7.4178,126.0526,08/01/2023,11:54:00,Region XI - Davao Region
7.4178,126.0526,15/01/2024,,Region XI - Davao Region
7.4211,126.4088,15/01/2024,,Region XI - Davao Region
7.4238,125.976,15/01/2024,,Region XI - Davao Region
7.4256,126.491,18/01/2024,07:00:00,Region XI - Davao Region
7.4528,125.8953,31/01/2024,,Region XI - Davao Region
7.4571,126.1706,19/12/2023,,Region XI - Davao Region
7.4763,125.8721,31/01/2024,,Region XI - Davao Region
7.4804,126.0321,16/01/2024,,Region XI - Davao Region
7.4858,125.9097,27/01/2023,21:42:00,Region XI - Davao Region
7.4858,125.9097,15/01/2024,,Region XI - Davao Region
7.4903,125.2586,06/09/2012,,Region XI - Davao Region
7.4943,122.3435,10/08/2013,,Region IX - Zamboanga Peninsula
7.5065,125.8948,16/01/2024,,Region XI - Davao Region
7.5075,126.102,31/01/2024,15:00:00,Region XI - Davao Region
7.5088,125.9207,24/01/2023,22:56:00,Region XI - Davao Region
7.513007,125.917248,10/23/2016,,Region XI - Davao Region
7.513007,125.917248,23/10/2016,20:00:00,Region XI - Davao Region
7.5154,126.0358,16/01/2024,,Region XI - Davao Region
7.5418,125.2141,06/04/2022,,Region X - Northern Mindanao
7.5429,126.074,25/01/2023,05:54:00,Region XI - Davao Region
7.5429,126.074,05/04/2022,21:15:00,Region XI - Davao Region
7.5429,126.074,15/01/2024,,Region XI - Davao Region
7.5621,125.9279,31/01/2024,10:00:00,Region XI - Davao Region
7.578214838,125.8334627,01/24/2017,,Region XI - Davao Region
7.582,125.9329,15/01/2024,,Region XI - Davao Region
7.5833,125.8333,01/11/2014,,Region XI - Davao Region
7.5836,126.0094,16/01/2024,,Region XI - Davao Region
7.5842,125.8331,02/17/2013,,Region XI - Davao Region
7.5973,126.0908,15/01/2024,,Region XI - Davao Region
7.5984,125.9424,18/01/2024,,Region XI - Davao Region
7.6,125.9667,09/08/2009,,Region XI - Davao Region
7.601,125.9643,16/01/2024,,Region XI - Davao Region
7.602,126.1371,15/01/2024,,Region XI - Davao Region
7.604043152,125.8670267,05/24/2017,,Region XI - Davao Region
7.6109,126.125,15/01/2024,,Region XI - Davao Region
7.6195,125.6278,01/14/2012,,Region XI - Davao Region
7.6228,125.9408,16/01/2024,,Region XI - Davao Region
7.6333,125.0167,07/28/2013,,Region X - Northern Mindanao
7.6483,125.6118,06/24/2011,,Region XI - Davao Region
7.6483,125.6118,17/08/2015,18:00:00,Region XI - Davao Region
7.653,122.9479,10/18/2010,,Region IX - Zamboanga Peninsula
7.6632,125.7011,05/24/2011,,Region XI - Davao Region
7.674494083,125.8603905,01/24/2017,,Region XI - Davao Region
7.6805,125.2236,08/17/2008,,Region X - Northern Mindanao
7.6844,126.1114,16/01/2024,04:00:00,Region XI - Davao Region
7.6844,126.1114,18/12/2023,12:30:00,Region XI - Davao Region
7.6844,126.1114,18/02/2023,08:00:00,Region XI - Davao Region
7.7026,126.2305,16/01/2024,08:30:00,Region XI - Davao Region
7.704271157,126.1419759,08/29/2013,,Region XI - Davao Region
7.704506691,126.142273,11/24/2009,,Region XI - Davao Region
7.7158,126.1043,16/01/2024,,Region XI - Davao Region
7.718,126.0436,05/30/2013,,Region XI - Davao Region
7.7211,125.1335,09/01/2014,,Region X - Northern Mindanao
7.7276,125.992,18/01/2024,15:00:00,Region XI - Davao Region
7.7299,125.0989,07/16/2011,,Region X - Northern Mindanao
7.7331,125.9659,16/01/2024,11:00:00,Region XI - Davao Region
7.7344,125.0969,06/05/2013,,Region X - Northern Mindanao
7.7352,126.5023,29/01/2023,,Region XI - Davao Region
7.736255099,125.5214687,12/17/2010,,Region XI - Davao Region
7.7364,123.0608,22/10/2015,02:00:00,Region IX - Zamboanga Peninsula
7.7421,125.7638,17/01/2023,,Region XI - Davao Region
